Company Name,Ticker,Market Cap ,Avg Volume,Beta,P/E (Trailing 12 Months),Current Ratio,Current ROE (TTM),12 Mo Trailing EPS,Price as a % of 52 Wk H-L Range,% Price Change (12 Weeks)
AGILENT TECH,A,14428.65,2443960.25,1.29,22.47,3.85,15.5,1.98,70.97,-5.26
AAC HOLDINGS,AAC,206.01,576956.19,2.7,11.74,2.41,11.33,0.74,9.54,-56.94
AMER AIRLINES,AAL,24294.88,6573823.5,0.88,6,0.76,95.17,7.82,100,26.87
AARONS INC,AAN,2107.54,640807.63,0.18,13.35,2.6,11.36,2.21,97.66,22.09
APPLIED OPTOELE,AAOI,430.64,572353.63,2.37,44.71,2.28,5.87,0.56,91.24,43.83
AAON INC,AAON,1751.47,144837.16,0.91,33.2,3.26,28.03,1,95.14,14.32
ADVANCE AUTO PT,AAP,12506.45,1527966.38,1.04,23.07,1.37,20.42,7.36,96.44,6.03
APPLE INC,AAPL,594339.63,32078346,1.34,13.48,1.35,35.59,8.27,73.61,3.49
AMER ASSETS TR,AAT,1856.22,227894.8,0.57,22.35,2.45,3.91,1.82,53.44,-9.9
ATLAS AIR WORLD,AAWW,1249.25,234465.66,1.25,13.18,0.6,6.45,3.79,92.47,28.37
ABAXIS INC,ABAX,1176.55,130683.9,0.82,38.67,7.71,12.71,1.35,70.51,5.54
ABB LTD-ADR,ABB,45136.46,1651995.38,1.27,16.98,1.42,17.98,1.2,63.34,-9.58
ABBVIE INC,ABBV,100089.85,8833610,1.55,12.97,1.79,150.77,4.75,64.22,-4.67
AMERISOURCEBRGN,ABC,18467.55,3607385.5,0.8,13.81,0.9,68.7,5.62,23.9,-11.41
AMERIS BANCORP,ABCB,1553.94,204632.2,1.3,20.7,0.96,12.31,2.15,99.49,26.56
CAMBIUM LEARNG,ABCD,231.5,39082.55,0.06,50.3,0.54,-6.62,0.1,68,3.07
ADVISORY BOARD,ABCO,1471.39,487666.56,1.12,30.54,0.98,11.28,1.2,36.63,-14.29
ALCENTRA CAPITL,ABDC,162.03,61909.65,0.9,7.8,0.08,10.88,1.54,69.54,-5.28
AMBEV-PR ADR,ABEV,78340.97,22139164,0.77,23.76,0.91,24.27,0.21,46.25,-20.16
ASBURY AUTO GRP,ABG,1300.68,243708.25,1.26,10.05,1.22,52.74,5.84,43.33,7.31
ABM INDUSTRIES,ABM,2496.75,279331.34,0.79,25.16,1.61,10.15,1.78,100,14.85
ABIOMED INC,ABMD,4862.58,512266.75,0.42,116.76,6.16,11.63,0.96,67.65,-4.99
ABBOTT LABS,ABT,57022.57,7871961,0.94,17.85,1.56,15.46,2.17,24.61,-8.14
AUTOBYTEL INC,ABTL,150.73,170867.95,1.57,13.75,2.5,12.15,1,20.03,-17.07
BARRICK GOLD CP,ABX,17994.25,18880652,-0.16,27.09,2.67,6.81,0.57,52.4,-18.91
AMER CAMPUS CTY,ACC,6269.47,1046919.88,0.26,20.55,1.02,3.11,2.31,57.03,-7.83
ACCO BRANDS CP,ACCO,1367.29,784414.38,1.41,15.36,1.98,13.86,0.83,98.61,22.6
ACETO CORP,ACET,604.33,282422.06,1.46,14.26,3.82,13.91,1.41,34.3,1.72
ARCH CAP GP LTD,ACGL,10108.76,304756.44,0.52,17.95,0.57,8.32,4.59,95.84,-0.45
ACADIA HEALTHCR,ACHC,3326.79,1213776,1.02,15.52,1.03,8.91,2.45,7.82,-26.45
ACI WORLDWIDE,ACIW,2195.65,571689.88,1.49,74.88,0.75,4.27,0.25,33.88,-3.46
AXCELIS TECH,ACLS,400.87,154345.09,1.55,47.07,5.85,4.06,0.29,89.5,12.16
AECOM,ACM,5576,2309351,1.8,12.03,1.13,12.92,3.01,90.01,19.07
ACCENTURE PLC,ACN,75020.17,2494277,1.22,22.65,1.35,47.07,5.34,95.74,4.84
ACNB CORP,ACNB,190.62,10165.75,0.21,17.09,0.91,9.45,1.84,92.82,14.57
ARES COMMERCIAL,ACRE,390.79,137386.75,0.78,13.58,3.05,6.34,1.01,100,7.52
AMER CAP SNR FL,ACSF,117.5,35868.8,1.3,9.71,2.23,9.78,1.21,100,3.98
ACACIA RESEARCH,ACTG,360.81,427071.75,1.3,13,4.55,9.53,0.55,94.34,4.08
ACXIOM CORP,ACXM,2093.19,388608.44,1.13,84.44,1.93,3.47,0.32,94.18,2.93
ADOBE SYSTEMS,ADBE,52183.97,2594391,1.14,49.04,2.16,15.03,2.14,84.14,1.4
AGREE RLTY CORP,ADC,1189.27,264313.31,0.63,18.19,1.04,7.88,2.5,70.89,-6.42
ADIDAS AG-ADR,ADDYY,29633.57,52371.85,1.18,36.44,1.37,17.38,2.03,66.31,-10.64
ANALOG DEVICES,ADI,22967.99,2931589.5,1.18,24.28,6.35,19.31,3.07,100,18.81
ARCHER DANIELS,ADM,24609.86,3674904.5,0.88,21.07,1.61,6.79,2.03,71.24,-2.66
AUTOMATIC DATA,ADP,43781.83,2197811,0.79,28.21,1.13,36.07,3.44,100,7.99
ADEPTUS HEALTH,ADPT,135.92,2531706.25,1.22,6.63,2.86,9.63,1.25,0,-80.97
KONIN AHOLD DEL,ADRNY,25508.21,147433.45,0.85,15.9,0.99,13.32,1.26,0,-18.89
ALLIANCE DATA,ADS,13210.06,591672.88,1.63,14.93,2.37,50.86,15.32,46.05,7.34
ADTRAN INC,ADTN,1001.84,379364.75,0.62,28.75,3.16,7.24,0.72,100,8.78
ADDUS HOMECARE,ADUS,398.95,104319.65,0.6,29.24,2.64,9.26,1.19,100,41.41
AMEREN CORP,AEE,12357.4,1588828.13,0.31,19,0.7,9.14,2.68,76.45,2.19
AEGON N V,AEG,10541.39,2069112.75,1.56,6.28,0.07,5.87,0.81,59.93,23.84
AEGION CORP,AEGN,832.09,233330.75,1.65,23.79,2.07,6.43,1.03,90.07,28.2
ADV ENERGY INDS,AEIS,2233.7,317902.91,0.96,25.35,4.41,29.42,2.22,100,22.88
AMER EQUITY INV,AEL,1784.24,937539.63,2.3,14.47,0.11,4.85,1.4,51.13,14.92
AGNICO EAGLE,AEM,9443.16,2229018.5,-0.42,97.56,2.81,2.27,0.43,48.67,-24.92
AMER EAGLE OUTF,AEO,3437.14,5445618.5,0.86,15.5,1.66,21,1.22,92.64,2.77
AMER ELEC PWR,AEP,30127.2,3013007.5,0.23,16.34,0.76,10.25,3.75,40.23,-7.22
AEP INDS,AEPI,602.68,31715.3,0.53,15.67,2.25,37.72,7.52,100,6.03
AERCAP HLDGS NV,AER,7891.32,2177135.75,1.65,7.05,0.56,14.06,6.16,88.38,8.36
AES CORP,AES,7831.01,5873261,1.18,12.38,1.28,14.01,0.96,70.76,-7.48
AETNA INC-NEW,AET,46329.33,3163929.5,0.54,16.61,1.01,16.25,7.95,100,13.46
ASTORIA FINL CP,AF,1643.56,668566.63,0.7,25.34,1.02,4.75,0.64,87.92,4.98
ALMOST FAMILY,AFAM,426.85,85629.45,0.82,16.59,2.33,8.86,2.48,66.84,12
AMER FINL GROUP,AFG,7159.58,376435.25,0.63,14.83,0.17,9.74,5.56,100,9.67
ATLAS FINL HLDG,AFH,204.99,61898.1,1.1,9.69,0.58,16.96,1.76,30.86,-2.24
AFLAC INC,AFL,29089.51,1737985.38,1.07,10.45,0.06,13.72,6.82,83.98,-3.23
AMTRUST FIN SVC,AFSI,4416.38,792192.06,1.08,8.55,0.49,19.81,3.03,27.04,-3.25
FIRST MAJESTIC,AG,1459.32,6449148.5,0.5,80.73,4.34,3.08,0.11,40.04,-33.33
AGCO CORP,AGCO,4483.71,820820.88,1.04,22.89,1.59,6.85,2.44,94.89,16.52
ARGO GROUP INTL,AGII,1910.33,164880.55,0.73,16.13,0.46,7.11,3.95,86.94,12.55
FED AGRIC MTG-C,AGM,572.27,73218.45,0.97,11.19,0.34,17.14,4.88,100,38.98
ALLERGAN PLC,AGN,72255.41,7079689.5,1.08,14.68,3.95,7.26,13.12,2.86,-19.44
AGNC INVESTMENT,AGNC,6293.19,3865048,0.19,8.41,0.2,10.23,2.26,70.45,-3.84
ASSURED GUARNTY,AGO,4676.55,1112054.75,1.86,5.51,0.27,14,6.51,100,30.48
APPLIED GEN TEC,AGTC,171.65,163796.8,1.54,15.08,2.68,10.56,0.63,21.3,-26.07
AGRIUM INC,AGU,13568.79,489111.19,0.93,18.18,1.29,11.96,5.4,86.2,1.92
ARGAN INC,AGX,969.56,202185.41,0.97,19.73,1.9,21.27,3.27,95.21,32.01
ALLIANCE HLDGS,AHGP,1668.98,107207.5,0.41,9.14,0.41,18.36,3.05,86.15,7.85
ASAHI KASEI CP,AHKSY,12651.6,58963.45,0.24,14.32,1.18,9.76,1.26,93.76,8.54
ASPEN INS HLDGS,AHL,3095.15,242026.5,0.6,13.28,0.63,7.65,3.87,92.4,9.92
ASHFORD HOSP PR,AHP,326.95,187173.34,1.22,7.97,4.14,3.94,1.58,46.04,-18.25
ASHFORD HOSPTLY,AHT,662.67,534772.88,1.34,4.25,3.23,-2.73,1.62,89.54,3.77
ARLINGTON ASSET,AI,383.24,262166.66,1.06,5.03,1.13,17.14,3.31,100,10.64
AMER INTL GRP,AIG,64997.1,7359583,1.37,41.36,0.23,1.82,1.53,91.65,6.44
ALTRA INDUS MOT,AIMC,890.41,150734.16,1.36,22.78,2.7,15.75,1.51,92.68,21.38
ALBANY INTL A,AIN,1492.65,124307.1,1.79,25.69,3.55,12.27,1.81,96.79,7.51
APOLLO INV CP,AINV,1360.83,1895796.75,0.87,8.17,1.01,10.42,0.75,89.37,0.16
AAR CORP,AIR,1286.65,221542.95,1.56,32.18,2.7,4.7,1.17,94.83,31.83
AIR METHODS CRP,AIRM,1190.02,821462.81,1.32,12.25,2.75,18.07,2.67,38.56,-8.02
APPLD INDL TECH,AIT,2307.26,210801.5,0.85,22.58,2.94,15.18,2.62,95.33,22.74
APARTMENT INVT,AIV,6597.14,1598594.25,0.45,18.36,0.61,19.95,2.29,54.37,-10.05
ASSURANT INC,AIZ,4907.11,474681.91,0.86,17.53,0.54,6.93,4.91,76.25,-4.24
GALLAGHER ARTHU,AJG,9119.48,854885.63,1.1,19.27,0.96,12.86,2.66,94.52,2.4
AEROJET ROCKETD,AJRD,1437.1,320269.19,1.57,33.66,1.17,-36.72,0.61,93.11,12.19
GREAT AJAX CORP,AJX,240.45,43145.55,1.06,7.1,6.49,11.53,1.87,79.04,-3.49
AKAMAI TECH,AKAM,11659.62,2174753.5,0.94,32.82,3.21,11.61,2.05,91.33,21.23
